unique_id,consumption,proxy0,proxy1,proxy2,proxy3,proxy4,characteristic0,characteristic1,characteristic2,characteristic3,characteristic4,weight
0,0,1,6,6,5,1,group0,group1,group0,group0,group0,49
1,0,0,4,6,7,3,group1,group0,group1,group0,group0,97
2,0,4,4,3,0,4,group1,group1,group1,group2,group1,94
3,0,2,5,1,0,1,group1,group0,group0,group3,group0,24
4,0,4,5,5,5,0,group0,group1,group1,group1,group0,60
5,0,1,1,3,7,0,group0,group1,group0,group1,group1,57
6,0,4,5,0,1,6,group0,group2,group0,group0,group0,83
7,0,2,5,5,3,6,group0,group1,group0,group1,group0,74
8,0,5,2,6,0,5,group0,group2,group1,group2,group1,99
9,0,5,6,6,3,5,group0,group3,group0,group1,group0,18
10,0,5,3,5,4,4,group1,group1,group0,group1,group1,37
11,0,7,4,4,4,0,group0,group3,group0,group3,group1,87
12,0,4,0,1,3,1,group0,group0,group1,group2,group1,51
13,0,4,3,4,1,4,group1,group1,group1,group2,group1,40
14,0,6,5,2,2,1,group1,group2,group1,group3,group0,31
15,0,5,6,6,0,0,group0,group3,group1,group1,group0,28
16,0,4,3,6,4,0,group0,group1,group0,group3,group1,18
17,0,6,4,1,0,4,group1,group3,group1,group1,group1,13
18,0,2,0,4,3,3,group0,group0,group1,group0,group1,22
19,0,2,4,0,3,4,group0,group1,group0,group2,group1,14
20,0,3,2,5,1,7,group0,group1,group1,group2,group1,68
21,0,5,4,4,4,6,group1,group1,group1,group3,group0,66
22,0,4,5,6,1,7,group1,group1,group1,group0,group0,57
23,0,3,3,0,4,6,group1,group3,group1,group3,group0,95
24,0,5,4,2,6,0,group1,group1,group0,group1,group0,11
25,0,3,1,2,1,2,group1,group0,group1,group2,group1,60
26,0,2,2,2,3,6,group0,group1,group0,group2,group0,36
27,0,3,6,5,0,7,group0,group1,group1,group0,group1,28
28,0,2,2,5,0,1,group0,group2,group0,group2,group0,95
29,0,5,6,4,7,2,group1,group1,group0,group1,group0,11
30,0,6,3,5,4,1,group1,group2,group0,group1,group0,19
31,0,2,4,6,7,4,group1,group0,group0,group1,group0,19
32,0,7,8,6,2,6,group1,group3,group1,group0,group0,44
33,0,2,2,5,6,3,group1,group0,group0,group0,group0,28
34,0,3,4,6,5,3,group0,group2,group0,group3,group0,49
35,0,2,5,1,6,4,group1,group2,group1,group0,group1,71
36,0,4,6,2,1,3,group1,group2,group1,group1,group0,64
37,0,5,3,3,2,0,group1,group3,group1,group3,group0,98
38,0,1,3,2,3,7,group1,group0,group1,group0,group0,32
39,0,3,7,3,2,5,group1,group3,group0,group0,group0,40
40,0,4,6,6,0,8,group1,group3,group0,group2,group0,30
