subscriber_id,antenna_id,tower_id,regions,prefectures
MwwaFwHBKL,a251,t30,SAVANES,AGOU
kkhBvxKiOp,a44,t58,MARITIME,OGOU
gMGXGXdSes,a113,t33,CENTRALE,TONE
sOJeGrKwbe,a225,t65,KARA,ANIE
ZZfNnZytXW,a47,t21,CENTRALE,AKEBOU
ZcLldUECdN,a59,t89,SAVANES,KPENDJAL-OUEST
rRmRPRzpPA,a93,t57,KARA,BASSAR
mrjYHuDBpx,a82,t0,MARITIME,TCHAOUDJO
WLQOzjWYfb,a242,t77,CENTRALE,TANDJOARE
rRBPnMdqKx,a138,t67,SAVANES,PLAINE DU MO
hGMexblmwH,a109,t15,PLATEAUX,LOME COMMUNE
kJxMKZzRfE,a95,t70,CENTRALE,BLITTA
FGybsTmlCa,a73,t3,SAVANES,BINAH
JfmjchdFXD,a290,t47,PLATEAUX,TCHAMBA
txIzCzvHKy,a229,t42,KARA,AVE
sQGOjnDvvt,a210,t1,PLATEAUX,KPELE
iGnSsLVhQa,a179,t81,SAVANES,SOTOUBOUA
mlYYwQmWZT,a152,t47,KARA,BASSAR
PqKvVNqmwR,a183,t16,KARA,KERAN
LpOuvgMZrq,a253,t68,PLATEAUX,PLAINE DU MO
AtJvmmmRmW,a37,t21,CENTRALE,PLAINE DU MO
fNgbhjgzdh,a57,t61,MARITIME,PLAINE DU MO
NgGnrxtAfv,a225,t29,PLATEAUX,TONE
dWgAxvDvhT,a87,t44,CENTRALE,OTI-SUD
BgmwSUgmji,a241,t96,MARITIME,KPENDJAL
meALpnQBFl,a44,t66,CENTRALE,OGOU
bZvWYAmjGh,a185,t34,KARA,WAWA
EiaSNgqfWG,a283,t88,CENTRALE,KPENDJAL
rrizRADpnV,a246,t86,KARA,OTI
wmJuEMcdRd,a55,t77,KARA,LACS
KcOffvromc,a63,t97,CENTRALE,OTI
fUAFFeYyZN,a208,t38,KARA,WAWA
WkzIMOgJkS,a56,t10,CENTRALE,BAS-MONO
oCMLouzjOm,a154,t21,PLATEAUX,SOTOUBOUA
tQEElXPRrD,a53,t16,SAVANES,ANIE
LLMgZcbVPB,a240,t78,PLATEAUX,TONE
IZEaLxYaBi,a166,t7,SAVANES,CINKASSE
SBvPNdHvkD,a186,t53,MARITIME,MOYEN-MONO
FXZOhJEIzg,a43,t53,SAVANES,LACS
ptudOnjdRU,a105,t67,MARITIME,LOME COMMUNE
TsdtSZAAjD,a19,t77,PLATEAUX,GOLFE
CaNaOEkaIY,a75,t12,PLATEAUX,DANKPEN
zZkqaZFAtz,a293,t86,SAVANES,ANIE
ZIWxRFoqYX,a162,t85,SAVANES,LOME COMMUNE
uAeSWdbQJv,a127,t28,PLATEAUX,AKEBOU
McmTeYfIvC,a58,t13,SAVANES,GOLFE
UDucbUSZmf,a129,t61,PLATEAUX,SOTOUBOUA
BEGhLiPIch,a296,t6,SAVANES,OTI
qTJQBeleRR,a186,t57,MARITIME,MOYEN-MONO
NyxIlyEvus,a280,t45,PLATEAUX,AVE
hoSbHeUpKQ,a152,t61,CENTRALE,OTI
lCJsWrEQOo,a119,t51,MARITIME,TCHAMBA
qztazmUTYq,a211,t93,SAVANES,HAHO
aurOBmpJWm,a250,t6,PLATEAUX,KERAN
cgibJqKipZ,a283,t57,MARITIME,ANIE
UWgavSMUps,a142,t40,KARA,AGOU
zYdOAwtytX,a164,t7,SAVANES,AGOE-NYIVE
CXcwyCjINx,a24,t4,PLATEAUX,DANKPEN
pPAREryhNY,a56,,KARA,KPENDJAL-OUEST
dIZzFczUIO,a31,t92,PLATEAUX,WAWA
YUTrQHhnDF,a156,t99,MARITIME,KLOTO
povJVGLkoa,a252,t7,SAVANES,AVE
iBbmdmTWEX,a130,t18,PLATEAUX,AVE
IbTrJUaZuS,a59,t51,KARA,BASSAR
KNrBOmsszC,a168,t72,KARA,EST-MONO
kncczthuUU,a143,t2,CENTRALE,HAHO
FmVLCXwbdO,a37,t82,MARITIME,OGOU
JzsJVuVzCs,a210,t46,SAVANES,KLOTO
OXryhijRsq,a188,t18,PLATEAUX,KPELE
DljOEeuyWJ,a100,t86,SAVANES,BAS-MONO
YezRGHjpnb,a82,t29,SAVANES,TONE
gnGIUNfJqV,a8,t35,PLATEAUX,CINKASSE
RYLLuDZLrZ,a295,t11,CENTRALE,OTI
yztAJNZiNN,a233,t52,SAVANES,BINAH
pjjlDwunYH,a269,t76,MARITIME,VO
DVwdKknQQS,a61,t37,KARA,TANDJOARE
SrXVvCoUNT,a168,t78,PLATEAUX,DANKPEN
IuktMfbJnc,a73,t69,PLATEAUX,ANIE
VLdIOQJoMg,a202,t24,MARITIME,WAWA
ecejgKNjoL,a196,t69,CENTRALE,KERAN
YUPUKSAIMO,a24,t29,MARITIME,OTI
MgqQtXBeFP,a281,t77,KARA,OTI-SUD
kVHLmGLNEH,a33,t24,MARITIME,PLAINE DU MO
ZHSjLEHfDc,a18,t42,CENTRALE,KOZAH
OEemvtDBqg,a126,t10,PLATEAUX,DANKPEN
UzIHDpTKIh,a206,t65,SAVANES,ANIE
kFdPLjiokX,a263,t85,KARA,PLAINE DU MO
gCXaKCzHgQ,a38,t53,CENTRALE,TCHAOUDJO
QQPIKxwzVJ,a49,t20,MARITIME,LACS
pAqMCRieoH,a14,t13,CENTRALE,DOUFELGOU
KXDRiGiFSw,a273,t26,SAVANES,AGOE-NYIVE
XASKSjEQKp,a45,t6,CENTRALE,BASSAR
HNQbVKqVtS,a185,t31,PLATEAUX,ZIO
vOyGseCqEm,a119,t83,KARA,BINAH
WDodcoiLyV,a154,t49,MARITIME,HAHO
YtJwPvzKLZ,a287,t65,SAVANES,ANIE
qkqRyNFZwl,a113,t54,MARITIME,LACS
WBYzVGXXRf,a127,t0,CENTRALE,TONE
JGiawPlVpd,a23,t50,MARITIME,TONE
aRWorldfhg,a293,t81,SAVANES,TONE
KIlSZGQiOh,a42,t37,PLATEAUX,CINKASSE
MtCtlnflji,a221,t76,SAVANES,EST-MONO
sazpsvTcHe,a89,t70,KARA,KLOTO
lCzujKzQEH,a209,t20,MARITIME,TCHAOUDJO
kyfEkHNhDh,a154,t54,KARA,LOME COMMUNE
ZxDgrIqzha,a46,t15,KARA,DOUFELGOU
tFPWYsBmKO,a109,t45,PLATEAUX,GOLFE
IQlbyHMuJm,a280,t29,KARA,OGOU
QoSPkdeOcN,a167,t70,SAVANES,CINKASSE
oYNcznnOgJ,a39,t14,MARITIME,DOUFELGOU
QiNMmMRHhs,a134,t13,MARITIME,AKEBOU
UYzTFvkCmv,a68,t76,KARA,AMOU
upWCirugqI,a112,t81,CENTRALE,OTI-SUD
QMQuGLWNMF,a39,t47,CENTRALE,AMOU
hrvIKPBhYK,a277,t43,MARITIME,DOUFELGOU
bgdKSBRhzs,a73,t75,KARA,AGOU
KRbjMhaDMX,a228,t62,CENTRALE,OTI
LzHtHCEMmj,a24,t25,KARA,BINAH
DhHNvWluua,a199,t25,KARA,OGOU
WzfOBUyuKl,a32,t72,MARITIME,TANDJOARE
wzQicuOsEE,a268,t42,SAVANES,SOTOUBOUA
hbEKRhQncc,a135,t61,KARA,YOTO
klfhtuUdnG,a258,t44,KARA,DANYI
ZKsKIXmCeN,a228,t44,SAVANES,OTI-SUD
ewHOMNOyIp,a20,t53,PLATEAUX,HAHO
crafafvctc,a85,t32,KARA,KPELE
SRwLuliAwr,a94,t28,PLATEAUX,BASSAR
lOviNTgYuS,a273,t5,KARA,KPELE
XxEFcyAuUH,a273,t20,MARITIME,LOME COMMUNE
uFZSRfIWVX,a171,t61,CENTRALE,DANYI
RXOPashdsl,a180,t7,PLATEAUX,ZIO
sNLmtXfmNS,a95,,MARITIME,OTI-SUD
ImQkdpTdeO,a281,t51,KARA,GOLFE
osejBtJLAB,a103,t97,PLATEAUX,ASSOLI
QGuIwVoSdD,a217,t50,KARA,GOLFE
NHnOnMxtqo,a179,t83,CENTRALE,BINAH
qfTcXuzMwC,a67,t21,MARITIME,AMOU
sGfhgdtkVR,a175,t9,KARA,AKEBOU
GVwjVxGtco,a127,t77,PLATEAUX,DOUFELGOU
OOXpmYiddw,a199,t11,MARITIME,KLOTO
AUTkwbgHqI,a8,t67,CENTRALE,ZIO
aKzuRMIgvK,a114,t35,SAVANES,KPENDJAL-OUEST
NUtIbkFRva,a137,t37,SAVANES,DANKPEN
qYPljWyHVg,a46,t41,MARITIME,TCHAMBA
XQqgsBPivb,a120,t9,SAVANES,VO
qkHdeeladT,a190,t15,CENTRALE,BLITTA
HUONmMUWTV,a277,t93,KARA,AVE
gGNvtMVsZF,a269,t85,CENTRALE,TCHAMBA
OMwCRfaoHD,a283,t76,SAVANES,TCHAOUDJO
ANnpaBqoKb,a160,t29,KARA,AGOU
pVQcoosDdg,a221,t52,KARA,KPENDJAL-OUEST
gNdNMWRVVK,a104,t25,SAVANES,ASSOLI
bdvjmfSTsU,a270,t86,MARITIME,VO
UAHdDuyIeM,a52,t37,KARA,KPENDJAL
aVMRYpWAbV,a239,t15,CENTRALE,BAS-MONO
AVkNVyOMzy,a246,t22,SAVANES,ANIE
OHFkbArviB,a236,t91,KARA,DANYI
KKqSymtytr,a217,t36,SAVANES,ANIE
wknmZkRsIm,a24,t45,SAVANES,DANKPEN
eWAQvXyzsn,a57,t66,KARA,DOUFELGOU
GPVxlTgFZg,a140,t3,MARITIME,TANDJOARE
hwNaQjPFNy,a18,t58,SAVANES,ANIE
zIpKVeqexV,a26,t95,PLATEAUX,WAWA
MJKWEawMBC,a205,t72,CENTRALE,AMOU
ovCQfxURWj,a281,t72,PLATEAUX,AMOU
GhyjjFXhGx,a0,t99,KARA,BAS-MONO
XNkolWMEey,a14,t89,KARA,TANDJOARE
AWrbWzWkYp,a167,t16,KARA,CINKASSE
IvOrlIzYfz,a275,t85,MARITIME,OGOU
skIOopvdDk,a137,t74,MARITIME,GOLFE
FvpAevxQRy,a181,t32,KARA,DOUFELGOU
bQdsaYgNLX,a232,t62,MARITIME,OTI-SUD
pFMqxTFqzh,a66,t6,SAVANES,AGOU
QzfXSkNQiL,a283,t73,CENTRALE,DANYI
zpTweudaaD,a258,t37,SAVANES,KOZAH
zRHUXtNVAD,a125,t2,PLATEAUX,BASSAR
lFwFKrUUBY,a19,t45,MARITIME,BLITTA
lMCfKVlySO,a142,t13,CENTRALE,HAHO
riFCrfggWQ,a269,t41,PLATEAUX,BASSAR
GNraTpxZeh,a125,t33,SAVANES,SOTOUBOUA
ZuYYBGYpqM,a82,t3,KARA,AVE
TAkRZSoiff,a61,t4,CENTRALE,EST-MONO
GmgFVkcBZD,a139,t30,MARITIME,TONE
sHLZFdgmpU,a156,t65,CENTRALE,AVE
Ynvvkgthxn,a236,t69,CENTRALE,AGOE-NYIVE
KbVDiKanAc,a3,t88,MARITIME,LOME COMMUNE
mNlCVRIeBc,a10,t74,SAVANES,VO
sAxjHTzZxX,a31,t36,CENTRALE,LOME COMMUNE
uOAmUlHQos,a253,t65,SAVANES,SOTOUBOUA
CScWfctHnj,a108,t56,KARA,MOYEN-MONO
jJigJkKZUd,a91,t77,KARA,KLOTO
mNvPMQdHNv,a224,t70,MARITIME,DANKPEN
yMlzPfwvRF,a102,t16,SAVANES,GOLFE
qxnDBaTRqt,a114,t42,PLATEAUX,AGOE-NYIVE
UEFGXVqVrd,a285,t97,MARITIME,TCHAOUDJO
eeisrwgClH,a285,t57,MARITIME,AGOU
PnmRDcsrjx,a33,t93,SAVANES,KPENDJAL-OUEST
aSpAQqOnRJ,a41,t5,PLATEAUX,KOZAH
FMujpiXSPS,a105,t89,SAVANES,BAS-MONO
ayEzTOeqlf,a177,t87,SAVANES,KPENDJAL-OUEST
ZrXuysitGQ,a25,t29,CENTRALE,BAS-MONO
zXxJyZETOR,a181,t95,SAVANES,YOTO
pwXxvVvTag,a176,t69,MARITIME,BLITTA
GfQgzNkQHE,a0,t86,PLATEAUX,ASSOLI
yKFQNXyPic,a294,t41,CENTRALE,OTI
YRmmDyznJu,a263,t81,SAVANES,HAHO
GbEyXOTqrf,a277,t51,MARITIME,CINKASSE
WhCdBCpDlt,a261,t46,KARA,BAS-MONO
LKSRljOHSi,a15,t58,PLATEAUX,OGOU
HQTOutwkjU,a119,t39,PLATEAUX,KOZAH
pbAcugnzhb,a242,t83,CENTRALE,BINAH
yofaYDcyWJ,a158,t15,PLATEAUX,AGOE-NYIVE
CGbKIWfKzS,a160,t75,PLATEAUX,AKEBOU
wKURKPTLyw,a172,t93,SAVANES,BINAH
ppdbEHpImH,a168,t93,CENTRALE,AGOE-NYIVE
QtXbAFQsZb,a152,t52,SAVANES,TCHAMBA
TLyOlzgZFy,a176,t56,KARA,KOZAH
eZIpIjclIC,a287,t25,PLATEAUX,BLITTA
vEQATYlCxa,a257,t79,MARITIME,AKEBOU
naVptxZAGL,a18,t36,MARITIME,TONE
xPduZOWJSH,a194,t4,CENTRALE,AGOU
eFTtZrCHXc,a271,t82,KARA,AGOE-NYIVE
YtCUJsglOM,a102,t94,KARA,ASSOLI
RVKwUZsMZp,a171,t11,CENTRALE,SOTOUBOUA
vFZowziPWD,a167,t42,CENTRALE,TCHAMBA
HDZKodHwjE,a276,t22,CENTRALE,LACS
fddDfReEWS,a129,t84,KARA,WAWA
uTDSAZTKdw,a128,t28,MARITIME,MOYEN-MONO
bbULZsbSzH,a173,t56,PLATEAUX,LOME COMMUNE
UsFoBbrsvZ,a241,t32,MARITIME,OTI
olPjbxYqCi,a108,t58,KARA,WAWA
morcWCUlfv,a120,t86,MARITIME,KOZAH
ZdcogOJXCj,a154,t68,SAVANES,TCHAOUDJO
eVTooFqebg,a135,t66,CENTRALE,KLOTO
NaficwxEvQ,a180,t22,SAVANES,EST-MONO
xAdcnOwhDr,a124,t2,MARITIME,KPENDJAL-OUEST
ZIIBodTyZY,a131,t73,MARITIME,BAS-MONO
bPeTUFClFy,a21,t1,PLATEAUX,BASSAR
isjaYQNfQZ,a83,t33,KARA,EST-MONO
YXmUSbWjvq,a264,t80,CENTRALE,GOLFE
RDaOnaMCTV,a43,t7,SAVANES,KOZAH
kHvRKmzbkc,a123,t63,SAVANES,KPENDJAL
jZfnWkiaaa,a95,t69,KARA,VO
XXOsfAbtCm,a76,t5,PLATEAUX,LACS
EXIjNExlZx,a72,t42,PLATEAUX,KPENDJAL
rJWmXhJqHE,a186,t15,PLATEAUX,BASSAR
buwNyRhUpz,a58,t35,MARITIME,TONE
WkJLcgJayz,a293,t46,KARA,OTI-SUD
thYTDgQYkj,a47,t81,MARITIME,KPELE
YRQKqwqabJ,a279,t23,PLATEAUX,AKEBOU
lKzXyxgDhE,a198,t20,KARA,AGOU
ShqzWdRqPU,a256,t4,PLATEAUX,MOYEN-MONO
YosNCLWrFL,a233,t23,PLATEAUX,AMOU
LXVYpyEYdB,a87,t25,SAVANES,KPELE
vQSvXOABhG,a59,t46,CENTRALE,AGOE-NYIVE
XnMzZAZGDz,a8,t31,MARITIME,DANKPEN
yfsZRWrzFK,a258,t25,MARITIME,EST-MONO
