txn_type,day,count
voice,2020-01-23T00:00:00.000-08:00,557
sms,2020-02-15T00:00:00.000-08:00,586
voice,2020-01-13T00:00:00.000-08:00,569
voice,2020-01-14T00:00:00.000-08:00,582
voice,2020-01-31T00:00:00.000-08:00,561
voice,2020-02-16T00:00:00.000-08:00,574
voice,2020-01-19T00:00:00.000-08:00,558
voice,2020-01-02T00:00:00.000-08:00,562
voice,2020-01-15T00:00:00.000-08:00,565
voice,2020-02-10T00:00:00.000-08:00,554
voice,2020-01-16T00:00:00.000-08:00,556
sms,2020-01-19T00:00:00.000-08:00,563
voice,2020-02-01T00:00:00.000-08:00,547
voice,2020-02-23T00:00:00.000-08:00,586
sms,2020-02-08T00:00:00.000-08:00,563
voice,2020-01-01T00:00:00.000-08:00,566
sms,2020-01-08T00:00:00.000-08:00,563
voice,2020-01-17T00:00:00.000-08:00,547
voice,2020-02-12T00:00:00.000-08:00,568
voice,2020-01-21T00:00:00.000-08:00,574
voice,2020-02-25T00:00:00.000-08:00,587
sms,2020-02-20T00:00:00.000-08:00,584
sms,2020-02-04T00:00:00.000-08:00,577
voice,2020-02-18T00:00:00.000-08:00,564
sms,2020-02-19T00:00:00.000-08:00,533
sms,2020-01-02T00:00:00.000-08:00,571
sms,2020-01-05T00:00:00.000-08:00,556
sms,2020-02-23T00:00:00.000-08:00,571
sms,2020-02-01T00:00:00.000-08:00,575
voice,2020-02-07T00:00:00.000-08:00,541
voice,2020-02-08T00:00:00.000-08:00,540
sms,2020-01-24T00:00:00.000-08:00,549
voice,2020-01-25T00:00:00.000-08:00,558
voice,2020-01-04T00:00:00.000-08:00,569
voice,2020-02-24T00:00:00.000-08:00,591
voice,2020-02-19T00:00:00.000-08:00,580
sms,2020-02-06T00:00:00.000-08:00,589
voice,2020-02-17T00:00:00.000-08:00,570
voice,2020-02-11T00:00:00.000-08:00,563
voice,2020-02-03T00:00:00.000-08:00,592
voice,2020-01-18T00:00:00.000-08:00,572
voice,2020-02-28T00:00:00.000-08:00,587
sms,2020-02-14T00:00:00.000-08:00,586
sms,2020-02-05T00:00:00.000-08:00,560
voice,2020-01-03T00:00:00.000-08:00,557
voice,2020-01-10T00:00:00.000-08:00,570
voice,2020-02-20T00:00:00.000-08:00,600
