txn_type,day,count
voice,2020-01-23T00:00:00.000-08:00,836
sms,2020-02-15T00:00:00.000-08:00,893
voice,2020-01-13T00:00:00.000-08:00,842
voice,2020-01-14T00:00:00.000-08:00,862
voice,2020-01-31T00:00:00.000-08:00,835
voice,2020-02-16T00:00:00.000-08:00,828
voice,2020-01-19T00:00:00.000-08:00,810
voice,2020-01-02T00:00:00.000-08:00,834
voice,2020-01-15T00:00:00.000-08:00,857
voice,2020-02-10T00:00:00.000-08:00,805
voice,2020-01-16T00:00:00.000-08:00,795
sms,2020-01-19T00:00:00.000-08:00,795
voice,2020-02-01T00:00:00.000-08:00,838
voice,2020-02-23T00:00:00.000-08:00,860
sms,2020-02-08T00:00:00.000-08:00,825
voice,2020-01-01T00:00:00.000-08:00,794
sms,2020-01-08T00:00:00.000-08:00,827
voice,2020-01-17T00:00:00.000-08:00,796
voice,2020-02-12T00:00:00.000-08:00,829
voice,2020-01-21T00:00:00.000-08:00,844
voice,2020-02-25T00:00:00.000-08:00,877
sms,2020-02-20T00:00:00.000-08:00,846
sms,2020-02-04T00:00:00.000-08:00,837
voice,2020-02-18T00:00:00.000-08:00,814
sms,2020-02-19T00:00:00.000-08:00,787
sms,2020-01-02T00:00:00.000-08:00,837
sms,2020-01-05T00:00:00.000-08:00,804
sms,2020-02-23T00:00:00.000-08:00,823
sms,2020-02-01T00:00:00.000-08:00,849
voice,2020-02-07T00:00:00.000-08:00,833
voice,2020-02-08T00:00:00.000-08:00,792
sms,2020-01-24T00:00:00.000-08:00,789
voice,2020-01-04T00:00:00.000-08:00,855
voice,2020-01-25T00:00:00.000-08:00,815
voice,2020-02-24T00:00:00.000-08:00,836
voice,2020-02-19T00:00:00.000-08:00,850
sms,2020-02-06T00:00:00.000-08:00,885
voice,2020-02-17T00:00:00.000-08:00,837
voice,2020-02-11T00:00:00.000-08:00,822
voice,2020-02-03T00:00:00.000-08:00,857
voice,2020-01-18T00:00:00.000-08:00,819
voice,2020-02-28T00:00:00.000-08:00,880
sms,2020-02-14T00:00:00.000-08:00,855
sms,2020-02-05T00:00:00.000-08:00,820
voice,2020-01-03T00:00:00.000-08:00,831
voice,2020-01-10T00:00:00.000-08:00,828
voice,2020-02-20T00:00:00.000-08:00,877
