txn_type,day,count
txn,2020-01-05T00:00:00.000-08:00,126
txn,2020-01-17T00:00:00.000-08:00,146
txn,2020-01-03T00:00:00.000-08:00,140
txn,2020-02-05T00:00:00.000-08:00,151
txn,2020-02-27T00:00:00.000-08:00,138
txn,2020-01-09T00:00:00.000-08:00,126
txn,2020-01-31T00:00:00.000-08:00,150
txn,2020-02-19T00:00:00.000-08:00,156
txn,2020-02-29T00:00:00.000-08:00,148
txn,2020-02-26T00:00:00.000-08:00,156
txn,2020-02-10T00:00:00.000-08:00,153
txn,2020-02-18T00:00:00.000-08:00,153
txn,2020-01-25T00:00:00.000-08:00,143
txn,2020-01-27T00:00:00.000-08:00,131
txn,2020-02-02T00:00:00.000-08:00,146
txn,2020-02-20T00:00:00.000-08:00,133
txn,2020-01-07T00:00:00.000-08:00,142
txn,2020-02-25T00:00:00.000-08:00,144
txn,2020-01-18T00:00:00.000-08:00,148
txn,2020-01-15T00:00:00.000-08:00,135
txn,2020-01-26T00:00:00.000-08:00,141
txn,2020-02-08T00:00:00.000-08:00,144
txn,2020-02-13T00:00:00.000-08:00,150
txn,2020-01-01T00:00:00.000-08:00,149
txn,2020-01-14T00:00:00.000-08:00,142
txn,2020-02-12T00:00:00.000-08:00,166
txn,2020-01-13T00:00:00.000-08:00,141
txn,2020-01-30T00:00:00.000-08:00,132
txn,2020-02-15T00:00:00.000-08:00,156
txn,2020-02-07T00:00:00.000-08:00,161
txn,2020-02-24T00:00:00.000-08:00,136
txn,2020-02-01T00:00:00.000-08:00,132
txn,2020-02-04T00:00:00.000-08:00,127
txn,2020-02-17T00:00:00.000-08:00,132
txn,2020-02-23T00:00:00.000-08:00,141
txn,2020-01-19T00:00:00.000-08:00,147
txn,2020-01-24T00:00:00.000-08:00,134
txn,2020-01-10T00:00:00.000-08:00,143
txn,2020-01-21T00:00:00.000-08:00,152
txn,2020-01-22T00:00:00.000-08:00,142
txn,2020-01-11T00:00:00.000-08:00,142
txn,2020-01-29T00:00:00.000-08:00,122
txn,2020-01-16T00:00:00.000-08:00,153
txn,2020-01-23T00:00:00.000-08:00,134
txn,2020-01-28T00:00:00.000-08:00,153
txn,2020-01-08T00:00:00.000-08:00,133
txn,2020-02-14T00:00:00.000-08:00,153
txn,2020-02-09T00:00:00.000-08:00,161
txn,2020-02-11T00:00:00.000-08:00,146
txn,2020-02-28T00:00:00.000-08:00,148
txn,2020-02-06T00:00:00.000-08:00,145
txn,2020-02-22T00:00:00.000-08:00,156
txn,2020-01-06T00:00:00.000-08:00,156
txn,2020-01-04T00:00:00.000-08:00,164
txn,2020-02-16T00:00:00.000-08:00,158
txn,2020-01-20T00:00:00.000-08:00,173
txn,2020-02-03T00:00:00.000-08:00,145
txn,2020-02-21T00:00:00.000-08:00,151
txn,2020-01-02T00:00:00.000-08:00,140
txn,2020-01-12T00:00:00.000-08:00,160
