txn_type,day,count
cashout,2020-02-02T00:00:00.000-08:00,31
cashout,2020-01-12T00:00:00.000-08:00,29
billpay,2020-02-29T00:00:00.000-08:00,24
cashout,2020-01-01T00:00:00.000-08:00,45
other,2020-01-21T00:00:00.000-08:00,16
cashout,2020-02-13T00:00:00.000-08:00,29
other,2020-01-30T00:00:00.000-08:00,15
other,2020-01-20T00:00:00.000-08:00,16
other,2020-02-07T00:00:00.000-08:00,20
other,2020-02-28T00:00:00.000-08:00,18
cashin,2020-01-17T00:00:00.000-08:00,30
p2p,2020-02-09T00:00:00.000-08:00,62
other,2020-01-17T00:00:00.000-08:00,19
p2p,2020-01-31T00:00:00.000-08:00,83
other,2020-02-17T00:00:00.000-08:00,13
billpay,2020-01-10T00:00:00.000-08:00,17
other,2020-01-09T00:00:00.000-08:00,22
p2p,2020-02-17T00:00:00.000-08:00,57
cashout,2020-02-18T00:00:00.000-08:00,28
cashout,2020-02-14T00:00:00.000-08:00,34
cashout,2020-01-28T00:00:00.000-08:00,35
p2p,2020-01-01T00:00:00.000-08:00,62
cashout,2020-01-06T00:00:00.000-08:00,28
cashin,2020-01-07T00:00:00.000-08:00,32
billpay,2020-02-27T00:00:00.000-08:00,11
p2p,2020-01-08T00:00:00.000-08:00,62
p2p,2020-01-02T00:00:00.000-08:00,58
billpay,2020-01-07T00:00:00.000-08:00,19
cashin,2020-02-19T00:00:00.000-08:00,28
billpay,2020-02-11T00:00:00.000-08:00,20
billpay,2020-01-18T00:00:00.000-08:00,11
p2p,2020-01-12T00:00:00.000-08:00,60
other,2020-01-01T00:00:00.000-08:00,14
p2p,2020-01-17T00:00:00.000-08:00,76
other,2020-01-05T00:00:00.000-08:00,16
cashout,2020-02-26T00:00:00.000-08:00,34
other,2020-02-05T00:00:00.000-08:00,23
cashin,2020-02-03T00:00:00.000-08:00,38
cashin,2020-01-26T00:00:00.000-08:00,31
other,2020-02-01T00:00:00.000-08:00,21
p2p,2020-02-05T00:00:00.000-08:00,52
cashin,2020-02-27T00:00:00.000-08:00,37
other,2020-01-24T00:00:00.000-08:00,20
billpay,2020-01-20T00:00:00.000-08:00,16
cashout,2020-02-25T00:00:00.000-08:00,41
cashin,2020-02-18T00:00:00.000-08:00,37
other,2020-01-03T00:00:00.000-08:00,16
cashout,2020-01-24T00:00:00.000-08:00,34
cashout,2020-02-19T00:00:00.000-08:00,32
billpay,2020-01-14T00:00:00.000-08:00,15
cashout,2020-01-14T00:00:00.000-08:00,22
p2p,2020-01-16T00:00:00.000-08:00,58
p2p,2020-02-23T00:00:00.000-08:00,59
other,2020-02-03T00:00:00.000-08:00,17
billpay,2020-02-09T00:00:00.000-08:00,22
cashin,2020-01-10T00:00:00.000-08:00,30
cashin,2020-01-28T00:00:00.000-08:00,39
billpay,2020-01-24T00:00:00.000-08:00,20
cashout,2020-01-31T00:00:00.000-08:00,31
p2p,2020-02-15T00:00:00.000-08:00,57
billpay,2020-01-23T00:00:00.000-08:00,24
cashout,2020-01-05T00:00:00.000-08:00,31
p2p,2020-02-29T00:00:00.000-08:00,68
cashout,2020-01-26T00:00:00.000-08:00,30
cashin,2020-01-22T00:00:00.000-08:00,42
billpay,2020-02-24T00:00:00.000-08:00,16
other,2020-01-10T00:00:00.000-08:00,19
cashout,2020-02-11T00:00:00.000-08:00,21
cashin,2020-01-11T00:00:00.000-08:00,26
other,2020-01-12T00:00:00.000-08:00,15
billpay,2020-02-13T00:00:00.000-08:00,17
cashin,2020-02-12T00:00:00.000-08:00,27
p2p,2020-02-06T00:00:00.000-08:00,61
billpay,2020-01-04T00:00:00.000-08:00,15
billpay,2020-02-12T00:00:00.000-08:00,16
billpay,2020-01-22T00:00:00.000-08:00,13
billpay,2020-01-17T00:00:00.000-08:00,17
cashin,2020-01-20T00:00:00.000-08:00,28
cashin,2020-02-24T00:00:00.000-08:00,29
billpay,2020-01-31T00:00:00.000-08:00,16
p2p,2020-02-07T00:00:00.000-08:00,67
cashin,2020-01-16T00:00:00.000-08:00,32
cashin,2020-02-10T00:00:00.000-08:00,39
p2p,2020-01-07T00:00:00.000-08:00,79
p2p,2020-01-23T00:00:00.000-08:00,77
p2p,2020-02-16T00:00:00.000-08:00,64
billpay,2020-02-21T00:00:00.000-08:00,16
cashin,2020-02-01T00:00:00.000-08:00,30
other,2020-02-29T00:00:00.000-08:00,15
cashin,2020-02-05T00:00:00.000-08:00,31
cashin,2020-02-08T00:00:00.000-08:00,32
cashout,2020-02-09T00:00:00.000-08:00,28
other,2020-01-07T00:00:00.000-08:00,18
cashout,2020-02-08T00:00:00.000-08:00,43
other,2020-01-16T00:00:00.000-08:00,15
other,2020-02-02T00:00:00.000-08:00,16
cashout,2020-01-19T00:00:00.000-08:00,29
billpay,2020-02-28T00:00:00.000-08:00,13
