txn_type,day,count
cashout,2020-01-12T00:00:00.000-08:00,29
cashout,2020-02-02T00:00:00.000-08:00,32
billpay,2020-02-29T00:00:00.000-08:00,24
cashout,2020-01-01T00:00:00.000-08:00,47
other,2020-01-21T00:00:00.000-08:00,16
other,2020-01-20T00:00:00.000-08:00,17
other,2020-01-30T00:00:00.000-08:00,16
other,2020-02-07T00:00:00.000-08:00,20
cashout,2020-02-13T00:00:00.000-08:00,30
other,2020-02-28T00:00:00.000-08:00,18
cashin,2020-01-17T00:00:00.000-08:00,31
billpay,2020-01-10T00:00:00.000-08:00,17
other,2020-01-17T00:00:00.000-08:00,19
p2p,2020-01-31T00:00:00.000-08:00,85
p2p,2020-02-09T00:00:00.000-08:00,65
other,2020-02-17T00:00:00.000-08:00,13
other,2020-01-09T00:00:00.000-08:00,22
p2p,2020-02-17T00:00:00.000-08:00,58
cashout,2020-02-18T00:00:00.000-08:00,31
cashout,2020-02-14T00:00:00.000-08:00,35
p2p,2020-01-01T00:00:00.000-08:00,65
cashout,2020-01-06T00:00:00.000-08:00,28
cashout,2020-01-28T00:00:00.000-08:00,36
cashin,2020-01-07T00:00:00.000-08:00,35
billpay,2020-02-27T00:00:00.000-08:00,11
p2p,2020-01-02T00:00:00.000-08:00,62
billpay,2020-01-07T00:00:00.000-08:00,20
p2p,2020-01-08T00:00:00.000-08:00,66
billpay,2020-02-11T00:00:00.000-08:00,20
cashin,2020-02-19T00:00:00.000-08:00,28
billpay,2020-01-18T00:00:00.000-08:00,11
p2p,2020-01-12T00:00:00.000-08:00,63
other,2020-01-01T00:00:00.000-08:00,14
other,2020-01-05T00:00:00.000-08:00,16
p2p,2020-01-17T00:00:00.000-08:00,81
other,2020-02-05T00:00:00.000-08:00,23
cashout,2020-02-26T00:00:00.000-08:00,34
cashin,2020-02-03T00:00:00.000-08:00,39
other,2020-01-24T00:00:00.000-08:00,20
cashin,2020-01-26T00:00:00.000-08:00,31
other,2020-02-01T00:00:00.000-08:00,21
p2p,2020-02-05T00:00:00.000-08:00,54
cashin,2020-02-27T00:00:00.000-08:00,37
billpay,2020-01-20T00:00:00.000-08:00,16
other,2020-01-03T00:00:00.000-08:00,16
cashout,2020-01-24T00:00:00.000-08:00,34
cashin,2020-02-18T00:00:00.000-08:00,37
cashout,2020-02-25T00:00:00.000-08:00,43
cashout,2020-02-19T00:00:00.000-08:00,33
cashout,2020-01-14T00:00:00.000-08:00,24
billpay,2020-01-14T00:00:00.000-08:00,15
p2p,2020-01-16T00:00:00.000-08:00,61
p2p,2020-02-23T00:00:00.000-08:00,63
other,2020-02-03T00:00:00.000-08:00,17
cashin,2020-01-10T00:00:00.000-08:00,30
billpay,2020-01-24T00:00:00.000-08:00,20
cashin,2020-01-28T00:00:00.000-08:00,40
billpay,2020-02-09T00:00:00.000-08:00,22
cashout,2020-01-31T00:00:00.000-08:00,31
cashout,2020-01-05T00:00:00.000-08:00,31
billpay,2020-01-23T00:00:00.000-08:00,25
p2p,2020-02-15T00:00:00.000-08:00,61
p2p,2020-02-29T00:00:00.000-08:00,70
cashout,2020-01-26T00:00:00.000-08:00,31
other,2020-01-10T00:00:00.000-08:00,19
cashin,2020-01-22T00:00:00.000-08:00,44
billpay,2020-02-24T00:00:00.000-08:00,16
cashout,2020-02-11T00:00:00.000-08:00,21
cashin,2020-01-11T00:00:00.000-08:00,26
other,2020-01-12T00:00:00.000-08:00,15
billpay,2020-02-13T00:00:00.000-08:00,17
cashin,2020-02-12T00:00:00.000-08:00,29
billpay,2020-01-04T00:00:00.000-08:00,15
p2p,2020-02-06T00:00:00.000-08:00,63
billpay,2020-01-22T00:00:00.000-08:00,13
billpay,2020-02-12T00:00:00.000-08:00,16
billpay,2020-01-17T00:00:00.000-08:00,17
cashin,2020-01-20T00:00:00.000-08:00,28
billpay,2020-01-31T00:00:00.000-08:00,17
p2p,2020-02-07T00:00:00.000-08:00,68
cashin,2020-02-24T00:00:00.000-08:00,29
cashin,2020-01-16T00:00:00.000-08:00,33
cashin,2020-02-10T00:00:00.000-08:00,41
p2p,2020-01-07T00:00:00.000-08:00,83
p2p,2020-01-23T00:00:00.000-08:00,78
p2p,2020-02-16T00:00:00.000-08:00,65
billpay,2020-02-21T00:00:00.000-08:00,16
cashin,2020-02-01T00:00:00.000-08:00,30
other,2020-02-29T00:00:00.000-08:00,15
cashin,2020-02-05T00:00:00.000-08:00,33
cashin,2020-02-08T00:00:00.000-08:00,33
other,2020-01-07T00:00:00.000-08:00,18
cashout,2020-02-09T00:00:00.000-08:00,28
other,2020-01-16T00:00:00.000-08:00,15
cashout,2020-02-08T00:00:00.000-08:00,43
cashout,2020-01-19T00:00:00.000-08:00,29
other,2020-02-02T00:00:00.000-08:00,16
billpay,2020-02-28T00:00:00.000-08:00,14
cashin,2020-01-27T00:00:00.000-08:00,34
p2p,2020-02-04T00:00:00.000-08:00,43
cashin,2020-01-30T00:00:00.000-08:00,41
other,2020-01-31T00:00:00.000-08:00,15
