txn_type,day,count
txn,2020-01-05T00:00:00.000-08:00,150
txn,2020-01-17T00:00:00.000-08:00,182
txn,2020-01-03T00:00:00.000-08:00,165
txn,2020-02-05T00:00:00.000-08:00,179
txn,2020-02-27T00:00:00.000-08:00,178
txn,2020-01-09T00:00:00.000-08:00,171
txn,2020-01-31T00:00:00.000-08:00,159
txn,2020-02-19T00:00:00.000-08:00,167
txn,2020-02-29T00:00:00.000-08:00,154
txn,2020-02-26T00:00:00.000-08:00,182
txn,2020-02-10T00:00:00.000-08:00,172
txn,2020-02-18T00:00:00.000-08:00,170
txn,2020-01-25T00:00:00.000-08:00,188
txn,2020-01-27T00:00:00.000-08:00,182
txn,2020-02-02T00:00:00.000-08:00,178
txn,2020-02-20T00:00:00.000-08:00,164
txn,2020-01-07T00:00:00.000-08:00,159
txn,2020-02-25T00:00:00.000-08:00,163
txn,2020-01-18T00:00:00.000-08:00,145
txn,2020-01-15T00:00:00.000-08:00,178
txn,2020-01-26T00:00:00.000-08:00,152
txn,2020-02-08T00:00:00.000-08:00,150
txn,2020-02-13T00:00:00.000-08:00,162
txn,2020-01-01T00:00:00.000-08:00,165
txn,2020-01-14T00:00:00.000-08:00,180
txn,2020-02-12T00:00:00.000-08:00,163
txn,2020-01-13T00:00:00.000-08:00,159
txn,2020-01-30T00:00:00.000-08:00,184
txn,2020-02-15T00:00:00.000-08:00,151
txn,2020-02-07T00:00:00.000-08:00,173
txn,2020-02-24T00:00:00.000-08:00,185
txn,2020-02-01T00:00:00.000-08:00,164
txn,2020-02-04T00:00:00.000-08:00,171
txn,2020-02-17T00:00:00.000-08:00,174
txn,2020-02-23T00:00:00.000-08:00,150
txn,2020-01-19T00:00:00.000-08:00,170
txn,2020-01-24T00:00:00.000-08:00,179
txn,2020-01-10T00:00:00.000-08:00,143
txn,2020-01-21T00:00:00.000-08:00,157
txn,2020-01-22T00:00:00.000-08:00,157
txn,2020-01-11T00:00:00.000-08:00,180
txn,2020-01-29T00:00:00.000-08:00,169
txn,2020-01-16T00:00:00.000-08:00,171
txn,2020-01-23T00:00:00.000-08:00,165
txn,2020-01-28T00:00:00.000-08:00,140
txn,2020-01-08T00:00:00.000-08:00,186
txn,2020-02-14T00:00:00.000-08:00,166
txn,2020-02-09T00:00:00.000-08:00,175
txn,2020-02-11T00:00:00.000-08:00,157
txn,2020-02-28T00:00:00.000-08:00,161
txn,2020-02-06T00:00:00.000-08:00,153
txn,2020-02-22T00:00:00.000-08:00,151
txn,2020-01-06T00:00:00.000-08:00,174
txn,2020-01-04T00:00:00.000-08:00,166
txn,2020-01-20T00:00:00.000-08:00,186
txn,2020-02-03T00:00:00.000-08:00,152
txn,2020-02-16T00:00:00.000-08:00,149
txn,2020-02-21T00:00:00.000-08:00,179
txn,2020-01-02T00:00:00.000-08:00,177
txn,2020-01-12T00:00:00.000-08:00,168
