name,prefectures,count
qTJQBeleRR,TCHAMBA,15
eeisrwgClH,PLAINE DU MO,2
tQEElXPRrD,PLAINE DU MO,4
RHwQjmZACX,PLAINE DU MO,1
ecejgKNjoL,OTI-SUD,9
fUAFFeYyZN,OTI-SUD,6
lILvNwZpJg,OTI-SUD,6
YmKryGrJKf,OTI-SUD,8
ybfXwoTOIB,AKEBOU,11
rFFUBynNSh,AKEBOU,9
lCziTEfqUQ,AKEBOU,5
GsggmfMRqV,AKEBOU,4
rJAPaflfZw,AKEBOU,8
buwNyRhUpz,SOTOUBOUA,16
AsvtszbEnV,SOTOUBOUA,9
jMFZqtHcGd,SOTOUBOUA,9
QOpgXgWkUp,OGOU,6
bkaCprmYrV,OGOU,13
BiNYEqkmfd,OTI,6
ZZfNnZytXW,OTI,15
amMBDBUUvV,OTI,8
RMAAkWOEls,KPENDJAL,3
wcWAJmEhTe,KPENDJAL,4
MQhnpLSWmh,KPENDJAL,3
upWCirugqI,KPENDJAL,6
BYchYSyqVC,KPENDJAL,3
WhCdBCpDlt,KPELE,6
FXlARdgXWR,KPELE,12
ytrjMrxzlO,KPELE,4
AaKCsooJgY,KPELE,8
CXWDbkmAHO,KPELE,3
prxHvLSySc,TCHAMBA,11
XKcjorfNRw,TCHAMBA,11
TyojoQrkXf,TCHAMBA,12
YPFpQtnbtY,OTI,11
AMhiFaRiXH,TCHAOUDJO,8
XNkolWMEey,TCHAOUDJO,7
rVDjYOUCiZ,WAWA,4
ojehpQgSrl,WAWA,2
Ynvvkgthxn,ANIE,9
pRVQmupfbd,ANIE,10
uBfDcSdVgQ,KPELE,7
NAbSoyFhvh,AGOE-NYIVE,3
vAwnWzAdpz,AGOE-NYIVE,4
OMwCRfaoHD,AGOE-NYIVE,4
RcPCHnSiQK,AGOE-NYIVE,1
KcOffvromc,AGOE-NYIVE,2
JshuzUxeoH,AGOU,4
pAqMCRieoH,AGOU,5
wTBCLBAKSO,OTI,7
TzgNxHLklN,DANKPEN,13
bNhDNxmBoW,DANKPEN,14
LpOuvgMZrq,VO,5
JGiawPlVpd,VO,4
QGbYfjEEUN,VO,1
BbHMdMVjBs,VO,4
yeCoCorNtH,SOTOUBOUA,11
FxJBErMcuY,TCHAMBA,10
hjUBijNMcB,TCHAMBA,10
OOJalOIuJR,BASSAR,32
GPVxlTgFZg,BASSAR,20
OVOmVmrpdy,AKEBOU,8
IdYycyWmjl,AKEBOU,7
gNdNMWRVVK,AKEBOU,11
WSdMzvPJEp,BLITTA,6
vXYTAznQFE,BLITTA,7
DJHvUTkzOX,VO,6
fEkXlLpsEx,VO,2
okVSvsHYTv,AKEBOU,8
IQlbyHMuJm,ANIE,5
tCEjDGYMpP,MOYEN-MONO,2
yeCoCorNtH,MOYEN-MONO,4
TOuEAjDKAx,MOYEN-MONO,2
LKSRljOHSi,BASSAR,22
XstqtfmwLR,HAHO,4
ygMEXUQDbn,HAHO,2
qCmErGAHbD,HAHO,4
TiwIWgxNDk,HAHO,2
bkaCprmYrV,ANIE,7
jHONfpPRYZ,BLITTA,8
KQfUwIVvVV,BLITTA,12
UxAJkiBjlv,DANKPEN,11
iCaZZNPjzs,DANKPEN,6
WkzIMOgJkS,KERAN,3
TNXtnfRBDx,KOZAH,4
DKPYCgMoYm,WAWA,2
SPCbSYGqCR,WAWA,2
mIchMaqvWj,AMOU,3
kkhBvxKiOp,AMOU,3
RertEDlxad,AMOU,6
SIoXRhfTSW,CINKASSE,1
VHyEqlVDQc,CINKASSE,3
WBYzVGXXRf,CINKASSE,4
LzHtHCEMmj,BASSAR,17
vAkPBPIwhF,ZIO,3
TWRFrKNwqy,ZIO,2
rrizRADpnV,ZIO,3
gmVWRqBoQV,BASSAR,6
YnVDmyOZKz,KERAN,6
itEXCvgIqG,VO,8
IvOrlIzYfz,VO,4
TNXtnfRBDx,Unknown,22
xYCPtUqRwb,Unknown,36
txIzCzvHKy,Unknown,26
EejkBiuisA,Unknown,24
PWbKsnVcyQ,DOUFELGOU,6
UGDojtMoWq,OTI-SUD,9
aTYHkibWJz,OTI-SUD,7
YRQKqwqabJ,MOYEN-MONO,1
kncczthuUU,ANIE,7
dgNSPaSfTE,AGOU,2
xplsWnyETU,EST-MONO,6
mNvPMQdHNv,EST-MONO,3
osejBtJLAB,OGOU,8
ixgtPfMtcF,KERAN,2
qVBxYOXntk,KPENDJAL,2
kkhBvxKiOp,KOZAH,2
mlYYwQmWZT,CINKASSE,3
PvvGKdxbUZ,KPELE,5
bZvWYAmjGh,Unknown,32
KndCfBRhIJ,OGOU,10
czTZNuGAUb,KPENDJAL,5
oYNcznnOgJ,AGOU,2
SRwLuliAwr,AGOU,2
gMGXGXdSes,AMOU,5
WzwHpoldPp,TCHAOUDJO,3
iCaZZNPjzs,WAWA,1
LOaWMxZFCg,TONE,3
ZBBCMZtnxU,TONE,2
cSHNJFyQnS,TONE,6
HYvKBZhHtl,TONE,1
HbZYYBsKHV,TONE,8
EXIjNExlZx,TONE,2
SRIctANnOU,TONE,6
CCjaSRuFZy,ANIE,4
FWxsvobejh,KPENDJAL-OUEST,3
YeTLsGkHWx,KPENDJAL-OUEST,3
kFdPLjiokX,KPENDJAL-OUEST,1
zLbZKTJNoS,ZIO,2
kyfEkHNhDh,AVE,2
zLbZKTJNoS,AVE,1
tmsNSVtcYF,KPENDJAL-OUEST,1
JWtZEHrWsR,KPENDJAL-OUEST,3
PJacssMYLF,PLAINE DU MO,1
xMrwhHCgcC,OGOU,5
ayEzTOeqlf,KOZAH,3
whklOxazbO,KOZAH,1
dgNSPaSfTE,DOUFELGOU,2
qlmeAxeFWJ,BINAH,1
UUXpmppfzo,BINAH,1
qKhUVcTwow,BINAH,1
OyPkMgUDbd,BINAH,1
YPFpQtnbtY,DOUFELGOU,1
idRaVutnLw,DOUFELGOU,1
PqKvVNqmwR,DOUFELGOU,1
SMuqSKCnZA,AGOE-NYIVE,3
sHLZFdgmpU,AGOE-NYIVE,1
VLDiQDZXWF,BINAH,1
kEPdsLrUmM,KPENDJAL,4
bkaCprmYrV,KPENDJAL,4
kFdPLjiokX,OTI-SUD,1
ewpFeeyUAI,LACS,1
XstqtfmwLR,TCHAMBA,14
lMCfKVlySO,TCHAMBA,14
TNXtnfRBDx,TCHAMBA,10
mrjYHuDBpx,OTI-SUD,7
kJxMKZzRfE,OTI-SUD,8
IbTrJUaZuS,AKEBOU,5
ZjWSSiDtdL,AKEBOU,8
upWCirugqI,AKEBOU,8
FUSzvJPVFA,SOTOUBOUA,14
mWmJFGtObp,SOTOUBOUA,19
YmKryGrJKf,OGOU,9
McmTeYfIvC,OGOU,11
XiKpNMsHxn,OTI,8
CWEaPfsxDd,OTI,5
YosNCLWrFL,KPENDJAL,7
lCJsWrEQOo,KPENDJAL,7
VWAZXcxOwE,KPENDJAL,4
KcOffvromc,KPENDJAL,3
cTTmiuNsBv,KPENDJAL,3
jxjpEIXJNY,KPELE,4
ZCYZHbOtBQ,KPELE,8
YJYkzOBbqo,KPELE,2
CmrbaxcQph,TCHAMBA,13
xnTULXdbpd,TCHAMBA,15
UWgavSMUps,OTI,11
YosNCLWrFL,OTI,4
aSpAQqOnRJ,OTI,9
wtLahGMgBA,OTI,8
giGYPsFMLe,TCHAOUDJO,4
qKhUVcTwow,ASSOLI,1
hNKyGUZvKP,ANIE,9
RcPCHnSiQK,ANIE,9
FxJBErMcuY,ANIE,8
CWEaPfsxDd,KPELE,5
zLbZKTJNoS,AGOE-NYIVE,3
mlYYwQmWZT,AGOE-NYIVE,3
oCMLouzjOm,AGOE-NYIVE,2
HNQbVKqVtS,AGOU,3
aSpAQqOnRJ,AGOU,3
UFJrnDyCIk,DANKPEN,13
TWRFrKNwqy,DANKPEN,9
HNQbVKqVtS,VO,2
MpwIsPXoSC,VO,2
dWgAxvDvhT,SOTOUBOUA,13
GpIDnOEdYH,TCHAMBA,14
DhHNvWluua,SOTOUBOUA,9
wInDWSpydA,BASSAR,21
sOJeGrKwbe,AKEBOU,3
uILoiTaVlc,BLITTA,7
FotIRBcYnB,BLITTA,13
ZJRzbwjYaM,BLITTA,8
yMlzPfwvRF,BLITTA,5
GsggmfMRqV,SOTOUBOUA,8
JWtZEHrWsR,MOYEN-MONO,1
dgNSPaSfTE,MOYEN-MONO,1
vFZowziPWD,BASSAR,14
mrjYHuDBpx,HAHO,1
DUdjnoVbNZ,HAHO,4
tdquKTjSND,ANIE,9
TKiwZaGFEW,ANIE,5
NDRsXwCDrr,BLITTA,8
ojehpQgSrl,DANKPEN,12
kKNTKcBBIF,DANKPEN,14
dSbpmigxHS,DANKPEN,13
yKFQNXyPic,OTI-SUD,5
zeBKFbSiTi,DANKPEN,8
rGFlLwfpcW,DANKPEN,9
VHyEqlVDQc,DANKPEN,15
rVDjYOUCiZ,KOZAH,6
VqGWSxnoSB,KOZAH,5
dIZzFczUIO,KOZAH,10
tJGNHwzslg,KOZAH,6
IvOrlIzYfz,BASSAR,19
TqESuDNBjJ,BASSAR,22
FotIRBcYnB,WAWA,1
CXWDbkmAHO,WAWA,2
PkPjUYMjzx,AMOU,5
GpIDnOEdYH,AMOU,5
HWtrxWlsRj,AMOU,10
tbDycaGhZM,AMOU,5
JWtZEHrWsR,AMOU,3
meALpnQBFl,CINKASSE,2
ReNRCDHcqZ,ZIO,1
yRADykVpRf,ZIO,2
ZjWSSiDtdL,AVE,2
HUONmMUWTV,BASSAR,20
vEQATYlCxa,Unknown,18
GudMukUipk,Unknown,27
aYtLXfzBOE,DOUFELGOU,1
gvsutalzBt,DOUFELGOU,5
uAeSWdbQJv,DOUFELGOU,4
JyGYBsSFuk,DOUFELGOU,2
XUrMCSAQcl,OTI-SUD,7
okVSvsHYTv,WAWA,2
TTukgLnomN,WAWA,1
ZCYZHbOtBQ,DOUFELGOU,2
LSSEYqEagz,ANIE,7
frZikyfXNP,TCHAOUDJO,5
tbmSJSWtXZ,TCHAOUDJO,5
DqAbgayQaH,HAHO,2
AWrbWzWkYp,HAHO,2
IdYycyWmjl,EST-MONO,5
KNrBOmsszC,OGOU,13
tonLBGQuSV,KPENDJAL,4
KcOffvromc,OTI-SUD,6
WVHwlmNkLa,LACS,6
YUOLwOzwDb,LACS,6
dxCiYsgQro,EST-MONO,1
YtCUJsglOM,OTI,8
iUChnGHNvU,KPELE,4
FoVXqPnuHd,EST-MONO,6
UDucbUSZmf,AGOU,1
XXnmAmCasu,TONE,2
fIEKotAegd,TONE,4
QGuIwVoSdD,TONE,4
qztazmUTYq,TONE,2
