name,regions,count
JGiawPlVpd,CENTRALE,44
lFwFKrUUBY,CENTRALE,38
WqKloEOPlw,SAVANES,28
EGEVAFOhDn,CENTRALE,42
hwNaQjPFNy,PLATEAUX,49
dyrrCwCdEP,PLATEAUX,38
DmqfqUBZnH,SAVANES,22
UxAJkiBjlv,SAVANES,29
YmKryGrJKf,CENTRALE,29
dDsxIrEWmd,SAVANES,20
SsxfAtMPUp,KARA,60
LOPoEfCCUP,KARA,52
aIxMhEdgXW,MARITIME,12
wInDWSpydA,MARITIME,14
dEEDaoEdqe,MARITIME,17
HWtrxWlsRj,KARA,48
VaPxXuuWtZ,KARA,42
jHONfpPRYZ,MARITIME,12
TNXtnfRBDx,Unknown,22
xYCPtUqRwb,Unknown,36
txIzCzvHKy,Unknown,26
EejkBiuisA,Unknown,24
bZvWYAmjGh,Unknown,32
YagnyvHJUh,CENTRALE,36
NWzJeACtDf,CENTRALE,44
HAfyJgJWGA,CENTRALE,34
YtCUJsglOM,CENTRALE,52
QtXbAFQsZb,CENTRALE,36
ixgtPfMtcF,SAVANES,25
ShqzWdRqPU,PLATEAUX,40
HzfbyeIhdX,PLATEAUX,51
AVkNVyOMzy,PLATEAUX,38
hhxqWaWsLA,PLATEAUX,32
xnTULXdbpd,CENTRALE,36
xceGzedNsY,CENTRALE,50
ANnpaBqoKb,SAVANES,20
YESMrTuLio,SAVANES,27
xnTULXdbpd,SAVANES,33
ehjWPxoldL,KARA,43
TNXtnfRBDx,KARA,49
JgpavfITSP,KARA,44
hhxqWaWsLA,KARA,55
qHbCFZbeqv,MARITIME,15
mMSHSilfqR,MARITIME,15
sbMMRXHWlA,MARITIME,11
kLllsfyBzV,MARITIME,22
nzbNxqUCmo,MARITIME,13
WRFtJAqJHm,KARA,56
KwueEyygvj,KARA,47
vEQATYlCxa,Unknown,18
GudMukUipk,Unknown,27
AasVYySWrX,MARITIME,10
HWtrxWlsRj,CENTRALE,44
kFdPLjiokX,CENTRALE,43
xPduZOWJSH,CENTRALE,36
iLroMLiXNJ,CENTRALE,32
JyGYBsSFuk,SAVANES,26
nzbNxqUCmo,SAVANES,25
RHwQjmZACX,SAVANES,16
zYdOAwtytX,PLATEAUX,38
TQzbSOuJSc,PLATEAUX,46
yfsZRWrzFK,SAVANES,30
ozVYHgNCbA,SAVANES,40
EYhApuDvLA,SAVANES,29
XmyGROxnSY,PLATEAUX,63
TyojoQrkXf,CENTRALE,39
qInBkNuqie,KARA,42
zIpKVeqexV,KARA,47
NHDTQUpmZl,PLATEAUX,40
vybkprKTvN,PLATEAUX,39
ruNGTTGsry,MARITIME,16
hxEJezKbVe,MARITIME,12
UDucbUSZmf,MARITIME,13
PcgWjDADaz,MARITIME,15
wInDWSpydA,KARA,46
osejBtJLAB,SAVANES,17
cprHaXwjPO,Unknown,19
isjaYQNfQZ,Unknown,23
WBYzVGXXRf,Unknown,22
BPZdpnMrQX,CENTRALE,46
qyCjOyGFVC,CENTRALE,34
NDRsXwCDrr,CENTRALE,38
YBBauxrJRx,SAVANES,33
rFFUBynNSh,PLATEAUX,45
lCJsWrEQOo,PLATEAUX,37
aYtLXfzBOE,PLATEAUX,50
uFZSRfIWVX,PLATEAUX,46
ZrXuysitGQ,CENTRALE,41
ovCQfxURWj,CENTRALE,40
uXsQsnpPzM,PLATEAUX,39
TyojoQrkXf,SAVANES,22
YYDzPMCwaj,SAVANES,24
CcQXgNmxnD,KARA,45
xxDSHSNyyP,MARITIME,17
SFVkVBNAYV,KARA,39
dEEDaoEdqe,KARA,51
EGEVAFOhDn,MARITIME,11
PGROltGVku,MARITIME,14
gvsutalzBt,MARITIME,14
amzyXHglBx,MARITIME,13
FgfTesnjYL,MARITIME,5
mIchMaqvWj,KARA,49
rJWmXhJqHE,KARA,53
VLDiQDZXWF,KARA,51
OVOmVmrpdy,Unknown,35
dIrNKTmhjQ,Unknown,25
klfhtuUdnG,Unknown,32
orztMoDwjO,Unknown,24
siAtejNJZH,Unknown,32
WDodcoiLyV,Unknown,24
LVjvnofexE,Unknown,26
KNrBOmsszC,Unknown,31
OXryhijRsq,CENTRALE,48
XUrMCSAQcl,CENTRALE,44
pRVQmupfbd,CENTRALE,44
HbZFZzkRjc,CENTRALE,35
EYhApuDvLA,CENTRALE,36
JqcGbIMhFn,SAVANES,29
XXOsfAbtCm,PLATEAUX,53
bbULZsbSzH,PLATEAUX,57
oYNcznnOgJ,PLATEAUX,48
nzbNxqUCmo,PLATEAUX,48
jZfnWkiaaa,KARA,45
QMwkYDHkof,PLATEAUX,39
CCjaSRuFZy,MARITIME,8
YagnyvHJUh,MARITIME,12
ayEzTOeqlf,SAVANES,31
WqKloEOPlw,MARITIME,7
OtFfOxcGMu,MARITIME,13
fnmFFTzlpW,MARITIME,10
HFuHhFZxEg,MARITIME,11
SwTJzGoKSI,Unknown,27
vybkprKTvN,Unknown,25
XxEFcyAuUH,MARITIME,14
xAdcnOwhDr,Unknown,26
WGBmXsYiOj,Unknown,31
QGuIwVoSdD,Unknown,27
IuktMfbJnc,CENTRALE,34
SFVkVBNAYV,CENTRALE,34
UUXpmppfzo,CENTRALE,38
vfIkaweSRw,CENTRALE,43
pwXxvVvTag,CENTRALE,32
iqgEhaVoXu,CENTRALE,39
ZBIrLOvJnR,SAVANES,29
invvrEGQVb,SAVANES,26
TAkRZSoiff,PLATEAUX,57
fUAFFeYyZN,PLATEAUX,60
LVjvnofexE,PLATEAUX,44
