name,count(regions),count(prefectures),count(tower_id)
JGPCbfDGes,6,31,78
YtvkGlMWwe,6,30,76
dYwshzRseD,6,33,84
dsBHAdXrrk,6,31,82
ygMEXUQDbn,6,30,77
ANnpaBqoKb,6,28,72
ZuLaiYuunH,6,31,81
kncczthuUU,6,33,80
AASxnSdfla,6,31,74
GhyjjFXhGx,6,30,78
RDaOnaMCTV,6,33,81
kLllsfyBzV,6,34,79
HbZFZzkRjc,6,32,71
VqGWSxnoSB,6,31,75
eeisrwgClH,6,32,76
iTISiQNqAr,6,30,78
oCMLouzjOm,6,33,79
oGBBNprFLK,6,31,72
oIbyXYpcAp,6,31,80
qTJQBeleRR,6,32,72
zJBJiicWQP,6,29,73
RertEDlxad,6,31,75
qMbaqKEvTx,6,29,74
cprHaXwjPO,6,29,76
lOviNTgYuS,6,32,80
BWACTSbnDT,6,29,78
OFvNEylNLu,6,29,67
cZzlioFPLu,6,31,75
sscGOWmTcr,6,31,75
TWRFrKNwqy,6,33,76
XxEFcyAuUH,6,33,81
lCzujKzQEH,6,31,75
mlYYwQmWZT,6,31,77
sPDEWSCsKe,6,30,71
zXxJyZETOR,6,32,80
CXcwyCjINx,6,28,67
HUONmMUWTV,6,34,77
HkWguDIfpS,6,33,81
NkMsjHibBf,6,32,80
StyaQWIxhf,6,31,77
nzbNxqUCmo,6,32,69
rjLtlefVRU,6,31,72
HNQbVKqVtS,6,32,77
LKSRljOHSi,6,33,81
MQHEOdAbZm,6,32,81
MtCtlnflji,6,29,78
vhiduYHhpg,6,32,74
UeuReFqmqD,6,31,81
iGnSsLVhQa,6,33,76
zYdOAwtytX,6,32,75
IdYycyWmjl,6,32,81
aTYHkibWJz,6,30,71
jTJlZyVkFP,6,33,83
CGbKIWfKzS,6,33,71
JyGYBsSFuk,6,29,76
RVKwUZsMZp,6,31,75
TpwIZgycjl,6,30,80
kNflXMaRCt,6,32,81
LySPboXRJq,6,33,73
NfhDWwJCLO,6,32,79
PvvGKdxbUZ,6,33,80
XiKpNMsHxn,6,31,77
aNGoLSaKjJ,6,32,81
qCPWbXygQa,6,33,80
zpTweudaaD,6,31,76
MmIxVLmHhY,6,33,77
TNXtnfRBDx,6,31,83
UBjPeHTMSJ,6,31,81
bWwiWnpWxs,6,31,76
pSwWTbHbug,6,33,74
RommLgqVgK,6,31,75
mMSHSilfqR,6,30,71
tbDycaGhZM,6,32,76
SYqEzGJYTQ,6,33,79
XstqtfmwLR,6,30,71
ZUTGZZkcRe,6,31,77
byiPUgprau,6,30,79
dxCiYsgQro,6,33,78
fIZJVXncRk,6,33,82
KwueEyygvj,6,28,72
SRIctANnOU,6,28,73
VWAZXcxOwE,6,30,71
XUpEywbCRm,6,30,71
qsjAsuFOgs,6,31,78
usdHetXxKX,6,31,78
CRNlPblBMx,6,30,78
GPVxlTgFZg,6,31,79
HjHbCoMcrt,6,33,76
KbxhvMwzfe,6,32,73
OBrvsvlwmE,6,30,75
PeusZvtMjk,6,31,78
SkbPdFPpRl,6,31,71
lKzXyxgDhE,6,32,75
pbAcugnzhb,6,33,83
tOcJrDRvkO,6,32,80
yMlzPfwvRF,6,31,75
bMEhEdHvEx,6,32,75
mIchMaqvWj,6,30,71
mVhYNnciWW,6,29,76
pjjlDwunYH,6,34,78
MJzAYJaCaO,6,32,75
SkDpHjHaTE,6,31,70
XKcjorfNRw,6,32,78
ZBIrLOvJnR,6,31,74
cmYrrTfytC,6,32,77
tonLBGQuSV,6,32,78
wVqnidxTXT,6,32,76
yfsZRWrzFK,6,32,82
HpuVGDEgpb,6,30,75
ROuebiUUVa,6,32,78
XIMdjewycb,6,33,77
dWgAxvDvhT,6,31,79
kHvRKmzbkc,6,32,73
ruNGTTGsry,6,30,71
TTukgLnomN,6,32,75
iVZgDwcEYU,6,33,78
isjaYQNfQZ,6,31,77
lpAchcvhBO,6,32,80
qkHdeeladT,6,32,77
HFuHhFZxEg,6,33,75
PGROltGVku,6,33,81
QVPqLwIIAe,6,32,75
UYzTFvkCmv,6,30,82
gghKDooQRp,6,32,72
rtKKSILNGX,6,29,78
yBJaOlsnOW,6,28,70
riFCrfggWQ,6,33,75
DKPYCgMoYm,6,30,74
FSKqEXXvfu,6,33,80
LIjXuoqhUZ,6,29,80
QeJWGbxiIf,6,33,76
RMAAkWOEls,6,34,75
hAiLgrTSEW,6,34,76
iqgEhaVoXu,6,30,71
rFFUBynNSh,6,29,70
xnTULXdbpd,6,34,81
xyMDNoyanA,6,32,78
FtMfdJnLrr,6,34,85
GfQgzNkQHE,6,29,78
IZEaLxYaBi,6,32,78
vhQQkOYkyg,6,33,73
wcWAJmEhTe,6,31,79
hpZYPsRKBb,6,31,80
bkanszCcLO,6,31,72
cnvqhtEuSm,6,28,76
dDsxIrEWmd,6,32,74
dyrrCwCdEP,6,31,79
eFTtZrCHXc,6,30,77
qIiquzKsbI,6,34,77
vEQATYlCxa,6,32,80
CaNaOEkaIY,6,32,75
HNUqgHMcFA,6,33,75
QzfXSkNQiL,6,31,82
otcUfMSjlb,6,30,77
CQEXACWfyh,6,30,76
TmgDdRQKHP,6,31,77
